"SourcePath"	"Line"	"Contexts"	"Review"	"Reason"	"SourceSHA256"
"HGame/Classes/basePopup.uc"	"7"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"DECLARATION_OR_COMMENT"	"Lexical occurrence; not an executable operation"	"97BD2A18ABCEB16140DD6FA93580BBA9C6C12E6E7C65EB64627EEF87A48D2854"
"HGame/Classes/basePopup.uc"	"16"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"97BD2A18ABCEB16140DD6FA93580BBA9C6C12E6E7C65EB64627EEF87A48D2854"
"HGame/Classes/basePopup.uc"	"27"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"97BD2A18ABCEB16140DD6FA93580BBA9C6C12E6E7C65EB64627EEF87A48D2854"
"HGame/Classes/basePopup.uc"	"29"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"97BD2A18ABCEB16140DD6FA93580BBA9C6C12E6E7C65EB64627EEF87A48D2854"
"HGame/Classes/basePopup.uc"	"31"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"97BD2A18ABCEB16140DD6FA93580BBA9C6C12E6E7C65EB64627EEF87A48D2854"
"HGame/Classes/baseWarning.uc"	"39"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"D63D5E9592DF88B9D312A5880C1E7123B2852281E5C3346231E9A47970D10488"
"HGame/Classes/baseWarning.uc"	"43"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"D63D5E9592DF88B9D312A5880C1E7123B2852281E5C3346231E9A47970D10488"
"HGame/Classes/baseWarning.uc"	"47"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"D63D5E9592DF88B9D312A5880C1E7123B2852281E5C3346231E9A47970D10488"
"HGame/Classes/baseWand.uc"	"33"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"DECLARATION_OR_COMMENT"	"Lexical occurrence; not an executable operation"	"4EE59FAB18A89C4DEC122874DD240DE6FCC14D0263D29E009ACAF5D275CA66F6"
"HGame/Classes/baseWand.uc"	"43"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"4EE59FAB18A89C4DEC122874DD240DE6FCC14D0263D29E009ACAF5D275CA66F6"
"HGame/Classes/baseWand.uc"	"47"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"4EE59FAB18A89C4DEC122874DD240DE6FCC14D0263D29E009ACAF5D275CA66F6"
"HGame/Classes/baseWand.uc"	"261"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"4EE59FAB18A89C4DEC122874DD240DE6FCC14D0263D29E009ACAF5D275CA66F6"
"HGame/Classes/baseWand.uc"	"376"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"4EE59FAB18A89C4DEC122874DD240DE6FCC14D0263D29E009ACAF5D275CA66F6"
"HGame/Classes/baseWand.uc"	"380"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"4EE59FAB18A89C4DEC122874DD240DE6FCC14D0263D29E009ACAF5D275CA66F6"
"HGame/Classes/baseWand.uc"	"396"	"LOCAL_PLAYER_CONTEXT|GLOBAL_STORY_CONTEXT|AI_TARGET_CONTEXT"	"REVIEW_REQUIRED"	"Mixed legacy alias; inspect operation and callers before edits"	"4EE59FAB18A89C4DEC122874DD240DE6FCC14D0263D29E009ACAF5D275CA66F6"
